  admin: {
    title: "Панель администратора",
    refresh: "Обновить",
    accessDenied: "Доступ запрещён",
    noPermission: "У вас нет разрешения на доступ к этой странице.",
    returnHome: "Вернуться на главную",

    totalUsers: "Всего пользователей",
    activeSubs: "Активные подписки",
    totalGrants: "Всего грантов",
    subscribers: "Подписчики",
    cancelled: "Отменённые",
    pastDue: "Просроченные",
    noSub: "Без подписки",

    tabUsers: "Пользователи",
    tabGrants: "Гранты",
    tabNewsletter: "Рассылка",

    statusActive: "Активный",
    statusCancelled: "Отменён",
    statusPastDue: "Просрочен",
    statusPaused: "Приостановлен",
    statusNone: "Нет",

    roleAdmin: "Админ",
    roleUser: "Пользователь",

    catMedicalTreatment: "Медицинское лечение",
    catFinancialAssistance: "Финансовая помощь",
    catAssistiveTechnology: "Вспомогательные технологии",
    catSocialServices: "Социальные услуги",
    catScholarships: "Стипендии",
    catHousing: "Жильё",
    catTravelTransport: "Путешествия и транспорт",
    catInternational: "Международные",
    catOther: "Другое",

    usersTitle: "Пользователи",
    searchUsers: "Поиск по имени или email...",
    allStatuses: "Все статусы",
    noSubscription: "Без подписки",
    thUser: "Пользователь",
    thRole: "Роль",
    thSubscription: "Подписка",
    thJoined: "Присоединился",
    thLastLogin: "Последний вход",
    thActions: "Действия",
    loadingUsers: "Загрузка пользователей...",
    noUsersFound: "Пользователи не найдены",
    promote: "Повысить",
    demote: "Понизить",
    showing: "Показано",

    grantsTitle: "Гранты и ресурсы",
    grantsCount: "{grants} грантов, {resources} ресурсов",
    searchGrants: "Поиск грантов...",
    allCategories: "Все категории",
    addGrant: "Добавить грант",
    importBtn: "Импорт",
    thGrant: "Грант",
    thCategory: "Категория",
    thType: "Тип",
    thCountry: "Страна",
    thStatus: "Статус",
    thAdded: "Добавлен",
    loadingGrants: "Загрузка грантов...",
    noGrantsFound: "Гранты не найдены",
    typeGrant: "Грант",
    typeResource: "Ресурс",
    activeStatus: "Активный",
    inactiveStatus: "Неактивный",

    addNewGrant: "Добавить новый грант",
    editGrant: "Редактировать грант",
    formName: "Название",
    formOrganization: "Организация",
    formDescription: "Описание",
    formCategory: "Категория",
    formType: "Тип",
    formCountry: "Страна",
    formAmount: "Сумма",
    formEligibility: "Право на получение",
    formWebsite: "Веб-сайт",
    formEmail: "Эл. почта",
    formPhone: "Телефон",
    formStatus: "Статус",
    enrichmentDetails: "Дополнительные данные",
    formApplicationProcess: "Процесс подачи заявки",
    formDeadline: "Срок подачи",
    formFundingType: "Тип финансирования",
    formTargetDiagnosis: "Целевой диагноз / состояние",
    formAgeRange: "Возрастной диапазон",
    formState: "Штат",
    formCity: "Город",
    formGeographicScope: "Географический охват",
    formB2Visa: "Право на визу B-2",
    formDocumentsRequired: "Необходимые документы",
    notSpecified: "Не указано",
    oneTime: "Разовый",
    recurring: "Повторяющийся",
    reimbursement: "Возмещение",
    varies: "Варьируется",
    yes: "Да",
    no: "Нет",
    uncertain: "Неизвестно",
    notifySubscribers: "Уведомить подписчиков о новом гранте",
